ReasonForAbsence,MonthOfAbsence,DayOfTheWeek,TransportationExpense,DistanceFromResidenceToWork,ServiceTime,Age,WorkLoadAverage,HitTarget,DisciplinaryFailure,Education,SocialDrinker,SocialSmoker,AbsenteeismTimeInHours
23,11,3,225,26,9,28,268519,93,0,1,0,0,2
0,11,3,291,31,12,40,268519,93,1,1,1,0,0
0,11,4,289,36,13,33,268519,93,1,1,1,0,0
14,11,5,248,25,14,47,268519,93,0,1,0,0,4
28,11,2,361,52,3,28,268519,93,0,1,1,0,2
28,12,4,291,31,12,40,280549,98,0,1,1,0,1
23,12,4,225,26,9,28,280549,98,0,1,0,0,3
13,12,6,179,26,9,30,280549,98,0,3,0,0,1
23,12,6,225,26,9,28,280549,98,0,1,0,0,3
23,12,4,225,26,9,28,280549,98,0,1,0,0,3
14,12,5,361,52,3,28,280549,98,0,1,1,0,4
18,12,6,179,22,17,40,280549,98,0,2,0,1,2
26,12,6,235,20,13,43,280549,98,0,1,1,0,8
18,12,2,233,51,1,31,280549,98,0,2,1,0,8
13,12,3,179,26,9,30,280549,98,0,3,0,0,16
23,12,3,225,26,9,28,280549,98,0,1,0,0,2
23,12,5,225,26,9,28,280549,98,0,1,0,0,3
23,12,2,225,26,9,28,280549,98,0,1,0,0,2
18,12,3,155,12,14,34,280549,98,0,1,1,0,80
12,1,2,179,26,9,30,313532,96,0,3,0,0,24
12,1,5,179,26,9,30,313532,96,0,3,0,0,16
25,1,5,179,22,17,40,313532,96,0,2,0,1,2
25,1,6,179,22,17,40,313532,96,0,2,0,1,2
13,1,2,179,26,9,30,313532,96,0,3,0,0,3
25,1,4,179,22,17,40,313532,96,0,2,0,1,2
10,1,5,289,48,29,49,313532,96,0,1,0,0,8
18,1,6,179,22,17,40,313532,96,0,2,0,1,3
27,1,2,179,26,9,30,313532,96,0,3,0,0,2
18,1,3,155,12,14,34,313532,96,0,1,1,0,8
27,1,4,179,26,9,30,313532,96,0,3,0,0,2
27,1,4,179,51,18,38,313532,96,0,1,1,0,3
13,1,4,289,36,13,33,313532,96,0,1,1,0,8
27,1,5,179,51,18,38,313532,96,0,1,1,0,3
27,1,6,179,51,18,38,313532,96,0,1,1,0,2
13,2,3,179,51,18,38,264249,97,0,1,1,0,8
23,2,3,225,26,9,28,264249,97,0,1,0,0,3
1,2,4,248,25,14,47,264249,97,0,1,0,0,8
27,2,4,179,51,18,38,264249,97,0,1,1,0,2
28,2,5,225,26,9,28,264249,97,0,1,0,0,3
27,2,5,179,51,18,38,264249,97,0,1,1,0,2
27,2,5,179,26,9,30,264249,97,0,3,0,0,2
28,2,6,225,15,15,41,264249,97,0,4,1,0,2
27,2,6,179,51,18,38,264249,97,0,1,1,0,2
19,2,2,233,51,1,31,264249,97,0,2,1,0,2
27,2,2,179,51,18,38,264249,97,0,1,1,0,2
7,2,3,225,26,9,28,264249,97,0,1,0,0,8
27,2,4,179,51,18,38,264249,97,0,1,1,0,3
27,2,5,179,51,18,38,264249,97,0,1,1,0,3
25,2,5,225,26,9,28,264249,97,0,1,0,0,3
13,2,5,179,26,9,30,264249,97,0,3,0,0,2
23,2,6,179,22,17,40,264249,97,0,2,0,1,2
27,2,6,179,51,18,38,264249,97,0,1,1,0,3
12,2,4,233,51,1,31,264249,97,0,2,1,0,3
27,2,4,179,26,9,30,264249,97,0,3,0,0,2
27,2,4,179,51,18,38,264249,97,0,1,1,0,2
13,2,5,179,51,18,38,264249,97,0,1,1,0,8
27,2,6,179,51,18,38,264249,97,0,1,1,0,2
25,2,2,155,12,14,34,264249,97,0,1,1,0,5
25,2,2,235,16,8,32,264249,97,0,3,0,0,3
27,2,2,179,51,18,38,264249,97,0,1,1,0,2
7,2,2,225,26,9,28,264249,97,0,1,0,0,2
27,2,3,179,51,18,38,264249,97,0,1,1,0,2
23,2,3,248,25,14,47,264249,97,0,1,0,0,2
25,2,3,225,26,9,28,264249,97,0,1,0,0,2
27,2,4,179,51,18,38,264249,97,0,1,1,0,2
27,2,5,179,51,18,38,264249,97,0,1,1,0,2
25,2,6,235,16,8,32,264249,97,0,3,0,0,2
27,3,2,179,51,18,38,222196,99,0,1,1,0,2
23,3,2,248,25,14,47,222196,99,0,1,0,0,2
25,3,3,228,14,16,58,222196,99,0,1,0,0,3
25,3,3,248,25,14,47,222196,99,0,1,0,0,3
12,3,3,228,14,16,58,222196,99,0,1,0,0,112
27,3,4,179,51,18,38,222196,99,0,1,1,0,2
27,3,5,225,26,9,28,222196,99,0,1,0,0,2
27,3,5,179,51,18,38,222196,99,0,1,1,0,3
25,3,5,225,26,9,28,222196,99,0,1,0,0,2
27,3,6,179,26,9,30,222196,99,0,3,0,0,3
25,3,2,235,16,8,32,222196,99,0,3,0,0,3
19,3,2,361,52,3,28,222196,99,0,1,1,0,8
13,3,3,179,51,18,38,222196,99,0,1,1,0,8
27,3,4,179,51,18,38,222196,99,0,1,1,0,2
27,3,5,179,51,18,38,222196,99,0,1,1,0,3
27,3,6,179,26,9,30,222196,99,0,3,0,0,2
10,3,2,179,51,18,38,222196,99,0,1,1,0,4
13,3,2,248,25,14,47,222196,99,0,1,0,0,2
27,3,2,179,51,18,38,222196,99,0,1,1,0,3
7,3,2,225,26,9,28,222196,99,0,1,0,0,8
27,3,3,179,51,18,38,222196,99,0,1,1,0,2
23,3,4,289,36,13,33,222196,99,0,1,1,0,8
25,3,4,228,14,16,58,222196,99,0,1,0,0,2
27,3,4,179,51,18,38,222196,99,0,1,1,0,2
23,3,5,248,25,14,47,222196,99,0,1,0,0,3
27,3,5,179,51,18,38,222196,99,0,1,1,0,3
23,3,6,179,26,9,30,222196,99,0,3,0,0,2
27,3,6,179,51,18,38,222196,99,0,1,1,0,3
27,3,3,179,51,18,38,222196,99,0,1,1,0,3
23,3,4,118,15,24,46,222196,99,0,1,1,1,8
13,3,4,155,12,14,34,222196,99,0,1,1,0,24
27,3,4,179,51,18,38,222196,99,0,1,1,0,3
27,3,5,179,51,18,38,222196,99,0,1,1,0,3
13,3,2,179,26,9,30,222196,99,0,3,0,0,2
19,3,2,289,36,13,33,222196,99,0,1,1,0,104
22,3,4,369,17,12,31,222196,99,0,1,1,0,8
13,4,2,225,26,9,28,246288,91,0,1,0,0,8
10,4,2,118,10,10,37,246288,91,0,1,0,0,8
19,4,3,361,52,3,28,246288,91,0,1,1,0,8
19,4,4,248,25,14,47,246288,91,0,1,0,0,8
13,4,5,189,29,13,33,246288,91,0,1,0,0,8
27,4,6,179,26,9,30,246288,91,0,3,0,0,2
7,4,2,369,17,12,31,246288,91,0,1,1,0,24
16,4,3,179,22,17,40,246288,91,0,2,0,1,2
23,4,3,118,13,18,50,246288,91,0,1,1,0,3
23,4,3,361,52,3,28,246288,91,0,1,1,0,2
10,4,4,118,10,10,37,246288,91,0,1,0,0,2
22,4,6,235,11,14,37,246288,91,0,3,0,0,8
27,4,6,179,26,9,30,246288,91,0,3,0,0,2
19,4,2,225,26,9,28,246288,91,0,1,0,0,8
16,4,3,235,16,8,32,246288,91,0,3,0,0,3
27,4,6,179,26,9,30,246288,91,0,3,0,0,2
28,4,3,155,12,14,34,246288,91,0,1,1,0,4
19,4,5,225,26,9,28,246288,91,0,1,0,0,8
14,4,5,118,13,18,50,246288,91,0,1,1,0,2
27,4,6,179,26,9,30,246288,91,0,3,0,0,2
22,5,2,235,11,14,37,237656,99,0,3,0,0,8
19,5,4,225,15,15,41,237656,99,0,4,1,0,3
28,5,4,235,16,8,32,237656,99,0,3,0,0,2
8,5,4,118,10,10,37,237656,99,0,1,0,0,3
26,5,4,235,20,13,43,237656,99,0,1,1,0,8
13,5,5,179,26,9,30,237656,99,0,3,0,0,1
28,5,5,291,31,12,40,237656,99,0,1,1,0,2
14,5,5,225,15,15,41,237656,99,0,4,1,0,8
19,5,6,300,26,13,43,237656,99,0,1,1,1,64
22,5,6,225,15,15,41,237656,99,0,4,1,0,8
27,5,6,179,26,9,30,237656,99,0,3,0,0,2
23,5,2,118,13,18,50,237656,99,0,1,1,0,2
5,5,3,118,13,18,50,237656,99,0,1,1,0,3
28,5,3,118,10,10,37,237656,99,0,1,0,0,1
0,5,3,118,13,18,50,237656,99,1,1,1,0,0
27,5,4,179,26,9,30,237656,99,0,3,0,0,2
0,5,4,378,49,11,36,237656,99,1,1,0,1,0
16,5,6,179,22,17,40,237656,99,0,2,0,1,1
10,5,2,155,12,14,34,237656,99,0,1,1,0,48
10,5,2,235,16,8,32,237656,99,0,3,0,0,8
22,5,4,291,31,12,40,237656,99,0,1,1,0,8
10,5,4,179,22,17,40,237656,99,0,2,0,1,8
6,5,4,225,26,9,28,237656,99,0,1,0,0,3
10,5,5,330,16,4,28,237656,99,0,2,0,0,8
23,5,5,235,16,8,32,237656,99,0,3,0,0,2
28,5,5,291,31,12,40,237656,99,0,1,1,0,2
27,5,6,179,26,9,30,237656,99,0,3,0,0,2
7,5,2,361,52,3,28,237656,99,0,1,1,0,8
23,5,4,155,12,14,34,237656,99,0,1,1,0,2
25,5,6,179,22,17,40,237656,99,0,2,0,1,8
10,5,6,155,12,14,34,237656,99,0,1,1,0,8
11,5,2,225,26,9,28,237656,99,0,1,0,0,1
7,6,4,118,15,24,46,275089,96,0,1,1,1,8
27,6,4,179,26,9,30,275089,96,0,3,0,0,3
26,6,6,118,10,10,37,275089,96,0,1,0,0,8
10,6,4,118,10,10,37,275089,96,0,1,0,0,8
22,6,5,378,49,11,36,275089,96,0,1,0,1,8
19,6,5,118,13,18,50,275089,96,0,1,1,0,24
19,6,6,233,51,1,31,275089,96,0,2,1,0,8
27,6,6,179,26,9,30,275089,96,0,3,0,0,2
0,6,2,235,29,12,48,275089,96,1,1,0,1,0
0,6,2,268,11,8,33,275089,96,1,2,0,0,0
19,6,5,118,13,18,50,275089,96,0,1,1,0,3
13,6,5,179,26,9,30,275089,96,0,3,0,0,2
28,6,5,291,31,12,40,275089,96,0,1,1,0,2
13,6,2,179,26,9,30,275089,96,0,3,0,0,3
25,6,2,118,10,10,37,275089,96,0,1,0,0,3
22,6,5,233,51,1,31,275089,96,0,2,1,0,8
8,6,6,118,10,10,37,275089,96,0,1,0,0,2
10,6,4,118,10,10,37,275089,96,0,1,0,0,3
22,6,4,233,51,1,31,275089,96,0,2,1,0,3
26,7,4,235,20,13,43,264604,93,0,1,1,0,4
19,7,6,233,51,1,31,264604,93,0,2,1,0,2
6,7,2,228,14,16,58,264604,93,0,1,0,0,8
28,7,2,118,10,10,37,264604,93,0,1,0,0,4
6,7,3,228,14,16,58,264604,93,0,1,0,0,120
22,7,3,189,29,13,33,264604,93,0,1,0,0,16
23,7,4,118,10,10,37,264604,93,0,1,0,0,2
22,7,4,361,52,3,28,264604,93,0,1,1,0,8
22,7,4,225,26,9,28,264604,93,0,1,0,0,8
13,7,2,369,17,12,31,264604,93,0,1,1,0,80
14,7,3,289,36,13,33,264604,93,0,1,1,0,8
11,7,3,235,11,14,37,264604,93,0,3,0,0,4
0,0,3,118,14,13,40,271219,95,0,1,1,0,0
0,0,4,231,35,14,39,271219,95,0,1,1,0,0
0,0,6,179,45,14,53,271219,95,0,1,0,0,0
